"","x"
"1090","5245"
"1091","5246"
"1092","5249"
"1093","5255"
"1094","5257"
"1095","5259"
"1096","5263"
"1097","5268"
"1098","5272"
"1099","5278"
"1100","5281"
"1101","5282"
"1102","5284"
"1103","5285"
"1104","5287"
"1105","5289"
"1106","5290"
"1107","5291"
"1108","5294"
"1109","5295"
"1110","5299"
"1111","5303"
"1112","5310"
"1113","5311"
"1114","5313"
"1115","5316"
"1116","5319"
"1117","5323"
"1118","5326"
"1119","5335"
"1120","5344"
"1121","5350"
"1122","5351"
"1123","5355"
"1124","5362"
"1125","5364"
"1126","5365"
"1127","5366"
"1128","5369"
"1129","5370"
"1130","5403"
"1131","5404"
"1132","5409"
"1133","5411"
"1134","5416"
"1135","5417"
"1136","5418"
"1137","5425"
"1138","5428"
"1139","5430"
"1140","5431"
"1141","5435"
"1142","5437"
"1143","5438"
"1144","5439"
"1145","5441"
"1146","5444"
"1147","5447"
"1148","5449"
"1149","5451"
"1150","5453"
"1151","5455"
"1152","5456"
"1153","5457"
"1154","5459"
"1155","5461"
"1156","5462"
"1157","5463"
"1158","5467"
"1159","5476"
"1160","5477"
"1161","5478"
"1162","5479"
"1163","5483"
"1164","5485"
"1165","5489"
"1166","5490"
"1167","5492"
"1168","5495"
"1169","5496"
"1170","5497"
"1171","5500"
"1172","5503"
"1173","5504"
"1174","5509"
"1175","5513"
"1176","5514"
"1177","5517"
"1178","5524"
"1179","5527"
"1180","5534"
"1181","5535"
"1182","5538"
"1183","5541"
"1184","5543"
"1185","5544"
"1186","5545"
"1187","5547"
"1188","5549"
"1189","5550"
"1190","5552"
"1191","5558"
"1192","5559"
"1193","5560"
"1194","5567"
"1195","5571"
"1196","5574"
"1197","5575"
"1198","5577"
"1199","5578"
"1200","5579"
"1201","5582"
"1202","5587"
"1203","5589"
"1204","5593"
"1205","5594"
"1206","5596"
"1207","5597"
"1208","5601"
"1209","5602"
"1210","5607"
"1211","5609"
"1212","5613"
"1213","5615"
"1214","5617"
"1215","5618"
"1216","5620"
"1217","5621"
"1218","5623"
"1219","5624"
"1220","5625"
"1221","5627"
"1222","5628"
"1223","5633"
"1224","5634"
"1225","5644"
"1226","5645"
"1227","5646"
"1228","5647"
"1229","5649"
"1230","5650"
"1231","5651"
"1232","5652"
"1233","5653"
"1234","5656"
"1235","5657"
"1236","5660"
"1237","5661"
"1238","5662"
"1239","5671"
"1240","5672"
"1241","5673"
"1242","5676"
"1243","5677"
"1244","5681"
"1245","5682"
"1246","5683"
"1247","5689"
"1248","5691"
"1249","5692"
"1250","5693"
"1251","5697"
"1252","5698"
"1253","5699"
"1254","5714"
"1255","5717"
"1256","5719"
"1257","5721"
"1258","5722"
"1259","5723"
"1260","5725"
"1261","5726"
"1262","5727"
"1263","5729"
"1264","5732"
"1265","5734"
"1266","5736"
"1267","5747"
"1268","5749"
"1269","5752"
"1270","5763"
"1271","5764"
"1272","5765"
"1273","5766"
"1274","5767"
"1275","5770"
"1276","5772"
"1277","5773"
"1278","5778"
"1279","5781"
"1280","5790"
"1281","5792"
"1282","5794"
"1283","5799"
"1284","5802"
"1285","5803"
"1286","5804"
"1287","5805"
"1288","5808"
"1289","5809"
"1290","5811"
"1291","5812"
"1292","5820"
"1293","5826"
"1294","5830"
"1295","5831"
"1296","5832"
"1297","5836"
"1298","5850"
"1299","5852"
"1300","5853"
"1301","5858"
"1302","5860"
"1303","5862"
"1304","5864"
"1305","5866"
"1306","5868"
"1307","5876"
"1308","5879"
"1309","5883"
"1310","5884"
"1311","5885"
"1312","5886"
"1313","5887"
"1314","5888"
"1315","5900"
"1316","5902"
"1317","5908"
"1318","5911"
